Number,Name,Address,Latitude,Longitude
321,321 - SACRE-CŒUR DE/HEILIGE HART VAN JETTE,SACRE-CŒUR DE JETTE/HEILIGE HART VAN JETTE - AVENUE DU SACREE CŒUR FACE 71 A 79/HEILIGE HARTLAAN VOOR 71 TOT 79,50.884251,4.330287
193,193 - GARE DE L'OUEST,GARE DE L'OUEST - CHEE DE NINOVE 207,209 / NINOOFSESTEENWEG 207,209,50.848866,4.320628
330,330 - VANDERVELDE,VANDERVELDE - AVENUE EMILE VANDERVELDE 90,50.847546,4.450015
79,079 - LOI / WET,LOI/WET - RUE D'ARLON/STRAAT 120,50.84413,4.374871
114,114 - SAISONS/JAARGETIJDEN,SAISONS/JAARGETIJDEN  -  AVENUE DES SAISONS 2 / JAARGETIJDENLAAN 2  ( FERMER PROB CONNEXION ),50.820391,4.385358
339,339 - MEUDON,MEUDON - SQUARE MEUDON,50.845365,4.41788
285,285 - COGHEN,COGHEN - AV COGHEN 1 A 5 / COGHENSTRAAT 1 TOT 5,50.813469,4.338951
232,232 - DOMAINE / DOMEIN,DOMAINE / DOMEIN - AV DU DOMAINE (FACE 150) / DOMEINELAAN (VOOR 150),50.810875,4.329158
191,191 - ARTAN,ARTAN - RUE CLAYS,50.853973,4.38374
221,221 - CURIE,CURIE - SQUARE MARIE CURIE (FACE 30) / MARIE CURIE SQUARE (TEGENOVER 30),50.821846,4.284394
153,153 - SQUARE ARMAND STEURS,SQUARE ARMAND STEURS/ARMAND STEURSSQUARE - AVENUE PAUL DESCHANEL (FACE N° 267 - 269) / PAUL DESCHANELLAAN (TEGENOVER 267 - 269),50.854128,4.378002
97,097 - KARREVELD,KARREVELD - CHAUSSEE DE GAND/ GENTSESTEENWEG 1-3,50.858058,4.318689
169,169 - GEORGES EEKHOUD,GEORGES EEKHOUD - AVENUE GEORGES EEKHOUD/GEORGES EEKHOUDLAAN 56,50.877125,4.387515
43,043 - JOSEPH II / JOZEF II,JOSEPH II/JOZEF II - RUE JOSEPH II/JOZEF II-STRAAT,50.845256,4.374501
82,082 - PANNENHUIS,PANNENHUIS - RUE CHARLES DEMEER/CHARLES DEMEERSTRAAT  71,50.872811,4.341149
100,100 - GARE DE LUXEMBOURG/LUXEMBURGSTATION,GARE DE LUXEMBOURG/LUXEMBURGSTATION - RUE DE TREVES / TRIERSTRAAT,50.838411,4.37302
58,058 - GARE DU NORD / NOORDSTATION,GARE DU NORD/NOORDSTATION - PLACE DU NORD / NOORDPLAATS,50.859181,4.35942
234,234 - ST DENIS / ST DENIJS,ST DENIS / ST DENIJS - PLACE ST DENIS FACE 68 / ST DENIJSPLAATS VOOR 68,50.809799,4.317546
269,269 - CICERON,CICERON - CHAUSSÉE DE LOUVAIN / LEUVENSESTEENWEG 951,50.860925,4.421374
319,319 - ANCIENNE BARRIERE/OUDE AFSPANNING,ANCIENNE BARRIERE / OUDE AFSPANNINGSPLEIN - PLACE DE L'ANCIENNE BARRIERE FACE 10,50.885197,4.317648
256,256 - VAN OVERBEKE,VAN OVERBEKE / AV VAN OVERBEKE / VAN OVERBEKELAAN,50.874767,4.308977
130,130 - ROND POINT DU SOUVERAIN,ROND POINT DU SOUVERAIN - BOULEVARD DU SOUVERAIN FACE / VORSTLAAN VOOR 207,50.819448,4.429082
39,039 - HOTEL DES MONNAIES / MUNTHOTEL,HOTEL DES MONNAIES/MUNTHOTEL - BLD DE WATERLOO- WATERLOOLAAN 93/94/95/96/98,50.834237,4.350732
86,086 - MAISON COMMUNALE DE JETTE GEMEENTEHUIS,MAISON COMMUNALE DE JETTE / JETTE GEMEENTEHUIS - CHAUSSEE DE WEMMEL/WEMMELSESTEENWEG 102,50.876195,4.324477
345,345 - 3 TILLEULS,3 TILLEULS - AV DES ORTOLANS 2,50.802675,4.412073
67,067 - PARC CINQUANTENAIRE / JUBELPARK,PARC CINQUANTENAIRE/JUBELPARK - AVENUE D'AUDERGHEM/OUDERGEMSESTEENWEG 45,50.83975,4.385426
292,292 - RITTWEGER,RITTWEGER - RUE RITTWEGER 6-8 / RITTWEGERSTRAAT 6-8,50.797739,4.336083
307,307 - KAREL BOGAERT,KAREL BOGAERT - BD EMILE BOCKSTAEL / EMILE BOCKSTAELLAAN 307,50.881889,4.347448
359,359 - JCDECAUX,JCDECAUX - ALLÉE VERTE 50 À 1000 BRUXELLES,50.867708,4.357532
344,344 - BETHLEEM,BETHLEEM - PLACE BETHLEEM,50.830179,4.337958
268,268 - DUNANT,DUNANT - AV HENRI DUNANT / HENRI DUNANTLAAN,50.862808,4.410791
111,111 - ETANGS MELLAERTS VIJVERS,ETANGS MELLAERTS VIJVERS - BOULEVARD DU SOUVERAIN FACE / VORSTLAAN VOOR 275,50.827831,4.431822
27,027 - SQUARE ALBERT I / ALBERT I SQUARE,SQUARE ALBERT I / ALBERT I-SQUARE 25 - 26 - 27,50.838733,4.32176
355,355 - PARNASSE,PARNASSE - RUE DU TRONE N°66 (CLOS PARNASSE),50.837714,4.369117
157,157 - HELIOTROPES/HELIOTROPEN,HELIOTROPES/HELIOTROPEN - BOULEVARD LAMBERMONT /  LAMBERMONTLAAN 374,50.863388,4.386222
154,154 - PLASKY/PLASKY,PLASKY - SQUARE EUGENE PLASKY (FACE 100) / EUGENE PLASKYSQUARE (TEGENOVER 100),50.851241,4.396386
132,132 - DEUX CHAUSSEES,DEUX CHAUSSEES - CHEE DE TERVURENLAAN FACE/TEGENOVER 93A,50.816338,4.433895
134,134 - BASTOGNE/BASTENAKEN,BASTOGNE/BASTENAKEN - PLACE DE BASTOGNE/BASTENAKENPLEIN,50.862652,4.316644
208,208 - MELBA,MELBA - AV NELLIE MELBA (FACE 1 a 9) / NELLIE MELBALAAN (TEGENOVER 1 tot 9),50.832565,4.294311
48,048 - CONGRES,CONGRES - RUE ROYALE/KONINGSSTRAAT 144-146-148,50.849358,4.363589
342,342 - MAISON COMMUNALE DE BERCHEM ST AGHATE,MAISON COMMUNALE DE BERCHEM ST AGHATE - AVENUE DU ROI ALBERT DVT 38,50.864761,4.294429
